Player,AllStar,Season,age,Team,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar,1,1984,37.0,LAL,NBA,C,79.0,79.0,33.3,9.2,15.3,0.599,0.0,0.0,0.0,9.2,15.3,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,2.1,2.5,3.0,22.0
Kareem Abdul-Jabbar,1,1985,38.0,LAL,NBA,C,79.0,79.0,33.3,9.6,16.9,0.564,0.0,0.0,0.0,9.6,16.9,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,1.6,2.6,3.1,23.4
Kareem Abdul-Jabbar,1,1986,39.0,LAL,NBA,C,78.0,78.0,31.3,7.2,12.7,0.564,0.0,0.0,0.333,7.2,12.7,0.565,0.564,3.1,4.4,0.7140000000000001,1.9,4.8,6.7,2.6,1.2,2.4,3.1,17.5
Kareem Abdul-Jabbar,1,1987,40.0,LAL,NBA,C,80.0,80.0,28.9,6.0,11.3,0.532,0.0,0.0,0.0,6.0,11.3,0.532,0.532,2.6,3.4,0.762,1.5,4.5,6.0,1.7,1.2,2.0,2.7,14.6
Kareem Abdul-Jabbar,1,1988,41.0,LAL,NBA,C,74.0,74.0,22.9,4.2,8.9,0.475,0.0,0.0,0.0,4.2,8.9,0.477,0.475,1.6,2.2,0.7390000000000001,1.4,3.1,4.5,1.0,1.1,1.3,2.6,10.1
Mahmoud Abdul-Rauf,0,1990,21.0,DEN,NBA,PG,67.0,19.0,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.4320000000000001,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.1,1.6,2.2,14.1
Mahmoud Abdul-Rauf,0,1991,22.0,DEN,NBA,PG,81.0,11.0,19.0,4.4,10.4,0.421,0.4,1.2,0.33,4.0,9.3,0.433,0.44,1.2,1.3,0.87,0.3,1.1,1.4,2.4,0.0,1.4,1.6,10.3
Mahmoud Abdul-Rauf,0,1992,23.0,DEN,NBA,PG,81.0,81.0,33.5,7.8,17.4,0.45,0.9,2.4,0.355,7.0,14.9,0.465,0.475,2.7,2.9,0.935,0.6,2.1,2.8,4.2,0.1,2.3,2.2,19.2
Mahmoud Abdul-Rauf,0,1993,24.0,DEN,NBA,PG,80.0,78.0,32.7,7.4,16.0,0.46,0.5,1.7,0.316,6.8,14.3,0.476,0.476,2.7,2.9,0.956,0.3,1.8,2.1,4.5,0.1,1.9,1.9,18.0
Mahmoud Abdul-Rauf,0,1994,25.0,DEN,NBA,PG,73.0,43.0,28.5,6.5,13.8,0.47,1.1,2.9,0.386,5.3,10.8,0.4920000000000001,0.511,1.9,2.1,0.885,0.4,1.4,1.9,3.6,0.1,1.6,1.7,16.0
Mahmoud Abdul-Rauf,0,1995,26.0,DEN,NBA,PG,57.0,53.0,35.6,7.3,16.8,0.434,2.1,5.4,0.392,5.1,11.3,0.454,0.4970000000000001,2.6,2.8,0.93,0.5,2.0,2.4,6.8,0.1,2.0,2.1,19.2
Mahmoud Abdul-Rauf,0,1996,27.0,SAC,NBA,PG,75.0,51.0,28.4,5.5,12.3,0.445,1.3,3.3,0.382,4.2,9.0,0.468,0.496,1.5,1.8,0.846,0.2,1.4,1.6,2.5,0.1,1.6,2.3,13.7
Mahmoud Abdul-Rauf,0,1997,28.0,SAC,NBA,PG,31.0,0.0,17.1,3.3,8.8,0.377,0.2,1.0,0.161,3.2,7.8,0.405,0.386,0.5,0.5,1.0,0.2,1.0,1.2,1.9,0.0,0.6,1.0,7.3
Mahmoud Abdul-Rauf,0,2000,31.0,VAN,NBA,PG,41.0,0.0,11.9,2.9,6.0,0.488,0.1,0.3,0.28600000000000003,2.8,5.7,0.5,0.496,0.5,0.7,0.759,0.1,0.5,0.6,1.9,0.0,0.6,1.2,6.5
Tariq Abdul-Wahad,0,1997,23.0,SAC,NBA,SG,59.0,16.0,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2.0,0.9,0.2,1.1,1.4,6.4
Tariq Abdul-Wahad,0,1998,24.0,SAC,NBA,SG,49.0,49.0,24.6,3.6,8.3,0.435,0.1,0.4,0.28600000000000003,3.5,7.9,0.443,0.442,1.9,2.8,0.691,1.5,2.3,3.8,1.0,0.3,1.4,2.5,9.3
Tariq Abdul-Wahad,0,1999,25.0,TOT,NBA,SG,61.0,56.0,25.9,4.5,10.6,0.424,0.0,0.4,0.13,4.4,10.2,0.435,0.426,2.4,3.2,0.7559999999999999,1.7,3.1,4.8,1.6,0.5,1.7,2.4,11.4
Tariq Abdul-Wahad,0,1999,25.0,ORL,NBA,SG,46.0,46.0,26.2,4.8,11.2,0.433,0.0,0.5,0.095,4.8,10.7,0.447,0.435,2.5,3.3,0.762,1.7,3.5,5.2,1.6,0.3,1.9,2.5,12.2
Tariq Abdul-Wahad,0,1999,25.0,DEN,NBA,SG,15.0,10.0,24.9,3.4,8.7,0.389,0.1,0.1,0.5,3.3,8.6,0.388,0.393,2.1,2.8,0.738,1.6,1.9,3.5,1.7,0.8,1.3,2.1,8.9
Tariq Abdul-Wahad,0,2000,26.0,DEN,NBA,SG,29.0,12.0,14.5,1.5,3.8,0.387,0.1,0.3,0.4,1.3,3.5,0.386,0.405,0.7,1.2,0.583,0.5,1.6,2.0,0.8,0.4,1.2,1.9,3.8
Tariq Abdul-Wahad,0,2001,27.0,TOT,NBA,SG,24.0,12.0,18.4,2.3,6.1,0.374,0.0,0.1,0.5,2.3,6.0,0.3720000000000001,0.378,1.0,1.4,0.727,1.7,1.8,3.5,1.0,0.4,1.1,2.3,5.6
Tariq Abdul-Wahad,0,2001,27.0,DEN,NBA,SG,20.0,12.0,20.9,2.8,7.3,0.379,0.1,0.1,0.5,2.7,7.2,0.378,0.383,1.2,1.6,0.75,2.0,2.0,3.9,1.1,0.5,1.2,2.6,6.8
Tariq Abdul-Wahad,0,2001,27.0,DAL,NBA,SG,4.0,0.0,6.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.5,1.0,1.5,0.5,0.3,0.8,1.3,0.0
Tariq Abdul-Wahad,0,2002,28.0,DAL,NBA,SG,14.0,0.0,14.6,1.9,4.1,0.466,0.0,0.1,0.0,1.9,4.1,0.474,0.466,0.2,0.4,0.5,1.0,1.9,2.9,1.5,0.2,0.5,1.9,4.1
Shareef Abdur-Rahim,0,1996,20.0,VAN,NBA,PF,80.0,71.0,35.0,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,2.8,2.5,18.7
Shareef Abdur-Rahim,0,1997,21.0,VAN,NBA,SF,82.0,82.0,36.0,8.0,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,0.9,3.1,2.5,22.3
Shareef Abdur-Rahim,0,1998,22.0,VAN,NBA,SF,50.0,50.0,40.4,7.7,17.9,0.4320000000000001,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.1,3.7,2.7,23.0
Shareef Abdur-Rahim,0,1999,23.0,VAN,NBA,SF,82.0,82.0,39.3,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.477,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,3.0,3.0,20.3
Shareef Abdur-Rahim,0,2000,24.0,VAN,NBA,SF,81.0,81.0,40.0,7.5,15.8,0.472,0.1,0.8,0.188,7.3,15.0,0.487,0.477,5.5,6.6,0.8340000000000001,2.2,6.9,9.1,3.1,1.0,2.9,2.9,20.5
Shareef Abdur-Rahim,1,2001,25.0,ATL,NBA,PF,77.0,77.0,38.7,7.8,16.8,0.461,0.3,0.9,0.3,7.5,15.9,0.47,0.469,5.4,6.8,0.8009999999999999,2.6,6.5,9.0,3.1,1.1,3.2,2.8,21.2
Shareef Abdur-Rahim,0,2002,26.0,ATL,NBA,PF,81.0,81.0,38.1,7.0,14.6,0.478,0.3,0.7,0.35,6.7,13.9,0.485,0.487,5.6,6.7,0.841,2.2,6.2,8.4,3.0,0.5,2.6,3.0,19.9
Shareef Abdur-Rahim,0,2003,27.0,TOT,NBA,PF,85.0,56.0,31.6,5.9,12.4,0.475,0.1,0.4,0.265,5.8,12.0,0.482,0.48,4.4,5.0,0.8690000000000001,2.2,5.3,7.5,2.0,0.4,2.2,2.6,16.3
Shareef Abdur-Rahim,0,2003,27.0,ATL,NBA,PF,53.0,53.0,36.9,7.2,14.9,0.485,0.1,0.4,0.217,7.1,14.5,0.493,0.488,5.5,6.3,0.88,2.7,6.7,9.3,2.4,0.4,2.5,2.8,20.1
Shareef Abdur-Rahim,0,2003,27.0,POR,NBA,PF,32.0,3.0,22.8,3.7,8.3,0.447,0.1,0.3,0.364,3.6,7.9,0.451,0.455,2.5,3.0,0.8320000000000001,1.5,3.0,4.5,1.5,0.6,1.7,2.3,10.0
Shareef Abdur-Rahim,0,2004,28.0,POR,NBA,PF,54.0,49.0,34.6,6.2,12.4,0.503,0.3,0.7,0.385,6.0,11.7,0.51,0.514,4.1,4.7,0.866,2.3,5.0,7.3,2.1,0.5,2.2,2.8,16.8
Shareef Abdur-Rahim,0,2005,29.0,SAC,NBA,PF,72.0,30.0,27.2,4.6,8.8,0.525,0.1,0.3,0.227,4.5,8.5,0.536,0.529,3.0,3.9,0.784,1.5,3.5,5.0,2.1,0.6,1.5,3.2,12.3
Shareef Abdur-Rahim,0,2006,30.0,SAC,NBA,C,80.0,45.0,25.2,3.9,8.2,0.474,0.0,0.3,0.15,3.8,7.9,0.484,0.476,2.1,2.9,0.726,1.5,3.5,5.0,1.4,0.5,1.5,3.0,9.9
Shareef Abdur-Rahim,0,2007,31.0,SAC,NBA,PF,6.0,0.0,8.5,0.5,2.3,0.214,0.0,0.0,,0.5,2.3,0.214,0.214,0.7,0.7,1.0,1.0,0.7,1.7,0.7,0.0,0.2,1.5,1.7
Tom Abernethy,0,1976,22.0,LAL,NBA,SF,70.0,,19.7,2.4,5.0,0.484,,,,2.4,5.0,0.484,0.484,1.4,1.9,0.754,1.6,2.5,4.2,1.4,0.1,,1.7,6.3
Tom Abernethy,0,1977,23.0,LAL,NBA,SF,73.0,,18.0,2.8,5.5,0.498,,,,2.8,5.5,0.498,0.498,1.2,1.5,0.82,1.4,2.2,3.6,1.4,0.3,0.7,1.7,6.8
Tom Abernethy,0,1978,24.0,GSW,NBA,PF,70.0,,17.4,2.5,4.9,0.515,,,,2.5,4.9,0.515,0.515,1.0,1.3,0.745,1.1,2.0,3.1,1.1,0.2,0.5,1.9,6.0
Tom Abernethy,0,1979,25.0,GSW,NBA,PF,67.0,,18.2,2.3,4.7,0.481,0.0,0.0,0.0,2.3,4.7,0.483,0.481,0.8,1.2,0.6829999999999999,0.9,1.9,2.9,1.3,0.2,0.6,1.8,5.4
Tom Abernethy,0,1980,26.0,TOT,NBA,SF,39.0,,7.6,0.6,1.5,0.424,0.0,0.0,0.0,0.6,1.5,0.431,0.424,0.3,0.6,0.591,0.5,0.7,1.2,0.5,0.1,0.2,0.9,1.6
Tom Abernethy,0,1980,26.0,GSW,NBA,SF,10.0,,3.9,0.1,0.3,0.333,0.0,0.0,,0.1,0.3,0.333,0.333,0.2,0.3,0.667,0.1,0.7,0.8,0.1,0.0,0.2,0.5,0.4
Tom Abernethy,0,1980,26.0,IND,NBA,SF,29.0,,8.9,0.8,1.9,0.429,0.0,0.0,0.0,0.8,1.9,0.436,0.429,0.4,0.7,0.579,0.7,0.7,1.4,0.6,0.1,0.2,1.0,2.0
Forest Able,0,1956,24.0,SYR,NBA,,1.0,,1.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,,1.0,1.0,,,1.0,0.0
John Abramovic,0,1946,27.0,PIT,BAA,,47.0,,,4.3,17.7,0.242,,,,,,,,2.6,3.8,0.691,,,,0.7,,,3.4,11.2
John Abramovic,0,1947,28.0,TOT,BAA,,9.0,,,0.1,2.3,0.048,,,,,,,,0.4,0.8,0.5710000000000001,,,,0.2,,,1.1,0.7
John Abramovic,0,1947,28.0,STB,BAA,,4.0,,,0.3,2.5,0.1,,,,,,,,0.5,1.0,0.5,,,,0.3,,,1.3,1.0
John Abramovic,0,1947,28.0,BLB,BAA,,5.0,,,0.0,2.2,0.0,,,,,,,,0.4,0.6,0.667,,,,0.2,,,1.0,0.4
Alex Acker,0,2005,23.0,DET,NBA,SG,5.0,0.0,7.0,0.8,3.2,0.25,0.2,1.0,0.2,0.6,2.2,0.273,0.281,0.0,0.0,,0.2,0.8,1.0,0.8,0.0,0.8,0.8,1.8
Alex Acker,0,2008,26.0,TOT,NBA,SG,25.0,0.0,8.0,1.2,3.0,0.395,0.3,0.8,0.35,0.9,2.2,0.411,0.441,0.2,0.4,0.5,0.3,0.6,1.0,0.5,0.2,0.3,0.4,2.9
Alex Acker,0,2008,26.0,DET,NBA,SG,7.0,0.0,2.9,0.6,1.6,0.364,0.0,0.6,0.0,0.6,1.0,0.5710000000000001,0.364,0.1,0.3,0.5,0.0,0.3,0.3,0.1,0.1,0.0,0.0,1.3
Alex Acker,0,2008,26.0,LAC,NBA,SG,18.0,0.0,9.9,1.4,3.6,0.4,0.4,0.9,0.438,1.1,2.7,0.388,0.454,0.2,0.4,0.5,0.4,0.8,1.2,0.6,0.2,0.4,0.5,3.5
Don Ackerman,0,1953,23.0,NYK,NBA,PG,28.0,,7.9,0.5,2.3,0.222,,,,,,,,0.5,1.0,0.536,,,0.5,0.8,,,1.5,1.5
Mark Acres,0,1987,25.0,BOS,NBA,C,79.0,5.0,14.6,1.4,2.6,0.532,0.0,0.0,,1.4,2.6,0.532,0.532,0.9,1.4,0.64,1.3,2.1,3.4,0.5,0.3,0.7,2.5,3.6
Mark Acres,0,1988,26.0,BOS,NBA,C,62.0,0.0,10.2,0.9,1.8,0.482,0.0,0.0,1.0,0.9,1.8,0.478,0.487,0.4,0.8,0.542,1.0,1.4,2.4,0.3,0.1,0.4,1.5,2.2
Mark Acres,0,1989,27.0,ORL,NBA,C,80.0,50.0,21.1,1.7,3.6,0.484,0.0,0.1,0.75,1.7,3.5,0.48,0.489,1.0,1.5,0.6920000000000001,1.9,3.5,5.4,0.8,0.3,0.9,3.1,4.5
Mark Acres,0,1990,28.0,ORL,NBA,C,68.0,0.0,19.3,1.6,3.1,0.509,0.0,0.0,0.333,1.6,3.1,0.512,0.512,1.0,1.5,0.653,2.1,3.2,5.3,0.4,0.4,0.6,3.2,4.2
Mark Acres,0,1991,29.0,ORL,NBA,C,68.0,6.0,13.6,1.1,2.2,0.517,0.0,0.0,0.333,1.1,2.2,0.52,0.52,0.8,1.0,0.7609999999999999,1.4,2.3,3.7,0.3,0.2,0.5,2.1,3.1
Mark Acres,0,1992,30.0,TOT,NBA,C,18.0,7.0,14.9,1.4,2.7,0.531,0.1,0.1,0.5,1.4,2.6,0.532,0.541,0.6,0.9,0.688,1.4,2.3,3.7,0.3,0.3,0.7,1.9,3.6
Mark Acres,0,1992,30.0,HOU,NBA,C,6.0,0.0,3.8,0.3,1.5,0.222,0.2,0.3,0.5,0.2,1.2,0.14300000000000002,0.278,0.2,0.3,0.5,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.0
Mark Acres,0,1992,30.0,WSB,NBA,C,12.0,7.0,20.5,2.0,3.3,0.6,0.0,0.0,,2.0,3.3,0.6,0.6,0.8,1.2,0.7140000000000001,2.0,3.1,5.1,0.4,0.5,0.9,2.7,4.8
Bud Acton,0,1967,26.0,SDR,NBA,SF,23.0,,8.5,1.3,3.2,0.392,,,,,,,,0.8,1.3,0.655,,,2.0,0.5,,,1.5,3.3
Alvan Adams,1,1975,21.0,PHO,NBA,C,80.0,,33.2,7.9,16.8,0.469,,,,7.9,16.8,0.469,0.469,3.3,4.4,0.735,2.7,6.4,9.1,5.6,1.5,,3.4,19.0
Alvan Adams,0,1976,22.0,PHO,NBA,C,72.0,,31.6,7.3,15.3,0.474,,,,7.3,15.3,0.474,0.474,3.5,4.6,0.754,2.5,6.6,9.1,4.5,1.2,,3.6,18.0
Alvan Adams,0,1977,23.0,PHO,NBA,C,70.0,,27.3,6.2,12.8,0.485,,,,6.2,12.8,0.485,0.485,3.1,4.2,0.73,2.3,5.8,8.1,3.2,0.9,3.3,3.5,15.5
Alvan Adams,0,1978,24.0,PHO,NBA,C,77.0,,30.7,7.4,13.9,0.53,,,,7.4,13.9,0.53,0.53,3.0,3.8,0.799,2.9,6.3,9.2,4.7,0.8,3.6,3.2,17.8
Alvan Adams,0,1979,25.0,PHO,NBA,C,75.0,,28.9,6.2,11.7,0.531,0.0,0.0,0.0,6.2,11.6,0.5329999999999999,0.531,2.5,3.1,0.797,2.1,6.0,8.1,4.3,0.7,2.9,3.2,14.9
Alvan Adams,0,1980,26.0,PHO,NBA,C,75.0,,27.4,6.1,11.6,0.526,0.0,0.0,,6.1,11.6,0.526,0.526,2.7,3.5,0.768,2.1,5.2,7.3,4.6,0.9,3.0,3.0,14.9
